epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,71.788,0.8198,0.35038,0.35421,1.18727,1.16836,0.8961,0.7222,0.85445,0.68633,0.8961,0.7222,0.85445,0.76286,0.93675,0.61103,0.09766,0.97424,1.27462,0.000335053,0.000335053,0.000335053
59,72.9331,0.83818,0.30538,0.42101,1.22238,1.2031,0.90031,0.72136,0.84786,0.68286,0.90031,0.72136,0.84786,0.75365,0.89369,0.60772,0.09178,0.93808,1.25649,0.00032744,0.00032744,0.00032744
60,74.0934,0.79044,0.39836,0.34012,1.0306,1.11528,0.93095,0.72045,0.84259,0.68874,0.93095,0.72045,0.85009,0.7501,0.85704,0.60403,0.08842,0.92707,1.23317,0.000319827,0.000319827,0.000319827
61,75.2448,0.82262,0.35169,0.32546,1.04867,1.20296,0.91226,0.72727,0.8494,0.69675,0.91226,0.72727,0.8494,0.75554,0.84719,0.59737,0.08486,0.93278,1.21352,0.000312214,0.000312214,0.000312214
62,76.4023,0.75319,0.33936,0.38183,1.00832,1.12007,0.92527,0.74267,0.86023,0.72456,0.92527,0.74267,0.86023,0.76954,0.84438,0.59671,0.08107,0.95355,1.20057,0.000304601,0.000304601,0.000304601
63,77.5715,0.80723,0.27865,0.37994,1.10509,1.20375,0.831,0.81991,0.87443,0.72483,0.831,0.81991,0.87443,0.78095,0.84336,0.60146,0.08193,0.94907,1.19525,0.000296988,0.000296988,0.000296988
64,78.7459,0.76801,0.3652,0.34992,0.97733,1.14409,0.83608,0.81655,0.86986,0.73741,0.83608,0.81655,0.86986,0.77712,0.85601,0.60026,0.08432,0.95911,1.20402,0.000289375,0.000289375,0.000289375
65,79.9358,0.78058,0.30552,0.38671,1.06429,1.12902,0.8795,0.79323,0.86662,0.73895,0.8795,0.79323,0.86662,0.77361,0.87467,0.59124,0.08612,1.00222,1.21213,0.000281762,0.000281762,0.000281762
66,81.1049,0.7002,0.39393,0.38093,1.03679,1.13316,0.87038,0.78117,0.85236,0.71343,0.87038,0.78117,0.85236,0.76019,0.88237,0.5741,0.09123,1.0133,1.2059,0.000274148,0.000274148,0.000274148
67,82.285,0.79626,0.32524,0.38252,1.05166,1.1798,0.87653,0.78117,0.85038,0.69641,0.87653,0.78117,0.85038,0.7555,0.87767,0.58072,0.09285,1.01555,1.19936,0.000266535,0.000266535,0.000266535
68,83.4534,0.74696,0.30163,0.32543,1.0532,1.12282,0.88295,0.78117,0.84874,0.70561,0.88295,0.78117,0.84874,0.75667,0.8672,0.58364,0.09544,1.01316,1.18962,0.000258922,0.000258922,0.000258922
69,84.6193,0.74814,0.34427,0.37678,1.06768,1.15119,0.88986,0.77934,0.84239,0.70737,0.88986,0.77934,0.84239,0.75207,0.84078,0.60362,0.09565,1.03153,1.17267,0.000251309,0.000251309,0.000251309
70,85.8004,0.74671,0.32841,0.39604,1.05895,1.19446,0.88528,0.77617,0.84221,0.71697,0.88528,0.77617,0.84221,0.75191,0.82861,0.60023,0.09404,1.01741,1.1676,0.000243696,0.000243696,0.000243696
71,86.9704,0.6991,0.33346,0.31637,0.93442,1.08018,0.89773,0.79177,0.84853,0.72796,0.89773,0.79177,0.84853,0.76492,0.82914,0.5902,0.09405,1.04255,1.18628,0.000236083,0.000236083,0.000236083
72,88.1524,0.69767,0.31403,0.33465,0.89441,1.08903,0.89482,0.79082,0.85688,0.7214,0.89482,0.79082,0.85688,0.77953,0.84549,0.57717,0.09264,1.04176,1.20794,0.00022847,0.00022847,0.00022847
73,89.4209,0.76204,0.31086,0.35805,0.97325,1.10995,0.90752,0.78233,0.8601,0.7382,0.90752,0.78233,0.8601,0.78692,0.83692,0.5661,0.09332,1.0253,1.22035,0.000220857,0.000220857,0.000220857
