epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,38.0409,1.34136,1.43463,1.19429,0.54732,0.63351,0.55415,0.36165,1.35929,1.43587,1.18436,0.000677643,0.000677643,0.000677643
14,40.7807,1.31186,1.38268,1.16039,0.64574,0.66404,0.63998,0.42193,1.31162,1.32756,1.13017,0.00067003,0.00067003,0.00067003
15,43.4847,1.31712,1.39388,1.16582,0.51267,0.67386,0.63347,0.39903,1.3361,1.24719,1.12848,0.000662417,0.000662417,0.000662417
16,46.1909,1.32739,1.31726,1.16231,0.64424,0.71665,0.71947,0.46971,1.28084,1.02404,1.13115,0.000654804,0.000654804,0.000654804
17,48.9333,1.32157,1.33293,1.15871,0.65059,0.73345,0.72414,0.4821,1.27732,1.04244,1.12177,0.00064719,0.00064719,0.00064719
18,51.642,1.26529,1.25232,1.14873,0.61388,0.77855,0.73546,0.48599,1.28193,1.07621,1.11836,0.000639577,0.000639577,0.000639577
19,54.3391,1.32673,1.25138,1.13588,0.67273,0.78785,0.7978,0.54673,1.27615,0.94066,1.12008,0.000631964,0.000631964,0.000631964
20,57.0495,1.32043,1.22789,1.14322,0.86684,0.75194,0.79835,0.5411,1.26654,0.877,1.09815,0.000624351,0.000624351,0.000624351
21,59.766,1.25347,1.12383,1.10881,0.7925,0.71158,0.78293,0.52654,1.22856,0.9199,1.09065,0.000616738,0.000616738,0.000616738
22,62.4751,1.2891,1.11464,1.10591,0.73964,0.80387,0.84029,0.56845,1.21529,0.83158,1.0806,0.000609125,0.000609125,0.000609125
23,65.2042,1.22431,1.09351,1.1055,0.69845,0.78742,0.81232,0.54805,1.20275,0.85938,1.08107,0.000601512,0.000601512,0.000601512
24,67.868,1.21602,1.02516,1.11158,0.64149,0.84801,0.78416,0.52392,1.2034,0.85579,1.08226,0.000593899,0.000593899,0.000593899
25,70.5415,1.21204,1.03798,1.09536,0.73662,0.86716,0.87691,0.59583,1.17185,0.78491,1.07178,0.000586286,0.000586286,0.000586286
26,73.2191,1.18758,0.99604,1.07719,0.75806,0.894,0.90745,0.62231,1.21603,0.74286,1.0813,0.000578672,0.000578672,0.000578672
27,75.8976,1.21694,1.00422,1.09412,0.80704,0.89925,0.91319,0.6266,1.19556,0.78732,1.07714,0.000571059,0.000571059,0.000571059
28,78.5686,1.20029,0.98602,1.10284,0.88778,0.87833,0.92443,0.67101,1.16511,0.73995,1.05132,0.000563446,0.000563446,0.000563446
29,81.2804,1.1965,0.96097,1.07486,0.83195,0.925,0.9246,0.64978,1.17286,0.74166,1.05173,0.000555833,0.000555833,0.000555833
30,83.9823,1.19384,0.94011,1.07113,0.86616,0.87588,0.91969,0.65424,1.15758,0.70731,1.05345,0.00054822,0.00054822,0.00054822
31,86.6465,1.15071,0.89466,1.08032,0.82076,0.87778,0.90397,0.63817,1.16229,0.73311,1.05126,0.000540607,0.000540607,0.000540607
32,89.3297,1.17615,0.96524,1.07108,0.90194,0.85027,0.92697,0.65229,1.16501,0.68778,1.03535,0.000532994,0.000532994,0.000532994
33,92.029,1.14617,0.92722,1.05768,0.86275,0.87824,0.92215,0.66041,1.15664,0.70041,1.04332,0.000525381,0.000525381,0.000525381
34,94.6723,1.14547,0.93056,1.07878,0.88706,0.85732,0.92046,0.63911,1.20218,0.69738,1.07624,0.000517768,0.000517768,0.000517768
35,97.3439,1.16586,0.87196,1.05661,0.85745,0.91194,0.92355,0.6538,1.16253,0.68026,1.0511,0.000510155,0.000510155,0.000510155
36,100.003,1.16498,0.91959,1.07676,0.79424,0.91671,0.91015,0.63684,1.16358,0.69315,1.05103,0.000502541,0.000502541,0.000502541
37,102.7,1.11865,0.89029,1.06658,0.88178,0.94004,0.9582,0.66229,1.17366,0.66044,1.04843,0.000494928,0.000494928,0.000494928
38,105.398,1.15981,0.88911,1.07289,0.9217,0.92338,0.9449,0.65312,1.20601,0.65813,1.07113,0.000487315,0.000487315,0.000487315
39,108.076,1.11574,0.85369,1.04855,0.90153,0.94688,0.95453,0.68316,1.15777,0.63643,1.03734,0.000479702,0.000479702,0.000479702
40,110.766,1.10822,0.85256,1.05215,0.92501,0.92937,0.96057,0.67023,1.14757,0.65797,1.02668,0.000472089,0.000472089,0.000472089
41,113.438,1.13954,0.88097,1.06568,0.9315,0.95143,0.97297,0.6846,1.12291,0.63682,1.01909,0.000464476,0.000464476,0.000464476
